SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	February 02, 2021	February 01, 2021	January 29, 2021	January 28, 2021	January 27, 2021
Chinese yuan	0.1078000000	0.1076200000	0.1074160000	0.1072090000	0.1073710000
Euro	0.8387810000	0.8401610000	0.8423090000	0.8404360000	0.8409500000
Japanese yen	0.0066390000	0.0066418300	0.0066429700	0.0066656300	0.0066955700
U.K. pound	0.9521950000	0.9531760000	0.9521090000	0.9484530000	0.9521610000
U.S. dollar	0.6964310000	0.6952670000	0.6940580000	0.6950920000	0.6941970000
Algerian dinar	0.0052328500	0.0052341100	0.0052216700	0.0052268300	0.0052322600
Australian dollar	0.5308890000	0.5320180000	0.5306070000	0.5302160000	0.5370310000
Botswana pula	0.0633752000	0.0631998000	0.0628122000	0.0629058000	0.0632413000
Brazilian real	0.1292820000	0.1273340000	0.1267620000	0.1280660000	0.1289900000
Brunei dollar	0.5232780000	0.5228750000	0.5212600000	0.5219580000	0.5236060000
Canadian dollar	0.5433230000	0.5421610000	0.5430810000	0.5426170000	0.5434030000
Chilean peso	0.0009518510	0.0009464310	0.0009361450	0.0009432910	0.0009496540
Colombian peso	0.0001955510	0.0001953290	0.0001935770	0.0001911220	0.0001932900
Czech koruna	0.0323831000	0.0323546000	0.0323691000	0.0321802000	0.0323123000
Danish krone	0.1127810000	0.1129650000	0.1132600000	0.1130100000	0.1130650000
Indian rupee	0.0095427000	0.0095217400	0.0095139100	0.0095130200	0.0095333700
Israeli New Shekel	0.2110400000	0.2114560000	0.2108960000	0.2110180000	0.2126830000
Korean won	0.0006229260	0.0006223300	0.0006226970	0.0006296120	0.0006293720
Kuwaiti dinar	2.2995900000	2.2965100000		2.2951700000	2.2933500000
Malaysian ringgit	0.1722770000		0.1712030000		0.1716610000
Mauritian rupee			0.0174536000		0.0174873000
Mexican peso	0.0345243000		0.0343172000	0.0342922000	0.0343376000
New Zealand dollar	0.4984360000	0.4989930000	0.4975010000	0.4958790000	0.5024600000
Norwegian krone	0.0810708000	0.0808704000	0.0814374000	0.0798855000	0.0804316000
Omani rial	1.8112600000	1.8082400000	1.8050900000	1.8077800000	1.8054500000
Peruvian sol	0.1914850000	0.1912180000		0.1907500000	0.1901390000
Philippine peso	0.0144903000	0.0144618000	0.0144232000	0.0144591000	0.0144438000
Polish zloty	0.1866560000	0.1862840000	0.1852800000	0.1850320000	0.1850850000
Qatari riyal	0.1913270000	0.1910070000		0.1909590000	0.1907130000
Russian ruble	0.0091750200	0.0092081900	0.0091020800	0.0091236900	0.0092510300
Saudi Arabian riyal	0.1857150000				
Singapore dollar	0.5232780000	0.5228750000	0.5212600000	0.5219580000	0.5236060000
South African rand	0.0465115000	0.0463378000	0.0462425000	0.0456034000	0.0456227000
Swedish krona	0.0829242000	0.0830318000	0.0829776000	0.0830149000	0.0835305000
Swiss franc	0.7754060000	0.7766610000	0.7807620000	0.7806080000	0.7814450000
Thai baht	0.0232314000	0.0232337000	0.0231468000	0.0231427000	0.0231553000
Trinidadian dollar	0.1036080000	0.1031630000	0.1032930000	0.1025210000	0.1023570000
U.A.E. dirham	0.1896340000	0.1893170000		0.1892690000	0.1890260000
Uruguayan peso	0.0164590000	0.0164482000	0.0164165000	0.0164282000	0.0164548000

Currency units per SDR(3)

Currency	February 02, 2021	February 01, 2021	January 29, 2021	January 28, 2021	January 27, 2021
Chinese yuan	9.276440	9.291950	9.309600	9.327580	9.313500
Euro	1.192210	1.190250	1.187210	1.189860	1.189130
Japanese yen	150.625000	150.561000	150.535000	150.023000	149.352000
U.K. pound	1.050210	1.049120	1.050300	1.054350	1.050240
U.S. dollar	1.435890	1.438300	1.440800	1.438660	1.440510
Algerian dinar	191.100000	191.054000	191.510000	191.321000	191.122000
Australian dollar	1.883630	1.879640	1.884630	1.886020	1.862090
Botswana pula	15.779000	15.822800	15.920500	15.896800	15.812500
Brazilian real	7.735030	7.853360	7.888800	7.808470	7.752540
Brunei dollar	1.911030	1.912500	1.918430	1.915860	1.909830
Canadian dollar	1.840530	1.844470	1.841350	1.842920	1.840250
Chilean peso	1,050.580000	1,056.600000	1,068.210000	1,060.120000	1,053.020000
Colombian peso	5,113.760000	5,119.570000	5,165.900000	5,232.260000	5,173.570000
Czech koruna	30.880300	30.907500	30.893700	31.075000	30.948000
Danish krone	8.866740	8.852300	8.829240	8.848770	8.844470
Indian rupee	104.792000	105.023000	105.109000	105.119000	104.895000
Israeli New Shekel	4.738440	4.729120	4.741670	4.738930	4.701830
Korean won	1,605.330000	1,606.860000	1,605.920000	1,588.280000	1,588.890000
Kuwaiti dinar	0.434860	0.435443		0.435698	0.436043
Malaysian ringgit	5.804610		5.841020		5.825440
Mauritian rupee			57.294800		57.184400
Mexican peso	28.965100		29.139900	29.161200	29.122600
New Zealand dollar	2.006280	2.004040	2.010050	2.016620	1.990210
Norwegian krone	12.334900	12.365500	12.279400	12.517900	12.432900
Omani rial	0.552102	0.553024	0.553989	0.553165	0.553879
Peruvian sol	5.222340	5.229630		5.242460	5.259310
Philippine peso	69.011700	69.147700	69.332700	69.160600	69.233900
Polish zloty	5.357450	5.368150	5.397240	5.404470	5.402920
Qatari riyal	5.226650	5.235410		5.236730	5.243480
Russian ruble	108.992000	108.599000	109.865000	109.605000	108.096000
Saudi Arabian riyal	5.384590				
Singapore dollar	1.911030	1.912500	1.918430	1.915860	1.909830
South African rand	21.500100	21.580700	21.625100	21.928200	21.918900
Swedish krona	12.059200	12.043600	12.051400	12.046000	11.971700
Swiss franc	1.289650	1.287560	1.280800	1.281050	1.279680
Thai baht	43.045200	43.040900	43.202500	43.210200	43.186700
Trinidadian dollar	9.651760	9.693400	9.681200	9.754100	9.769730
U.A.E. dirham	5.273320	5.282150		5.283490	5.290280
Uruguayan peso	60.757000	60.796900	60.914300	60.870900	60.772500


(1) Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
